Name,ChrNr,Resolution,n,WN,WS,binNrStart,binNrEnd,START,END,S
G401_BR1,14,40000,253.0,759,2,964,1217,38520000,48680000,2.9667191099297794
G401_BR1,14,40000,253.0,759,2,966,1219,38600000,48760000,2.9723654982992835
G401_BR1,14,40000,253.0,759,2,968,1221,38680000,48840000,2.9716869279154166
G401_BR1,14,40000,253.0,759,2,970,1223,38760000,48920000,2.9736111417513467
G401_BR1,14,40000,253.0,759,2,972,1225,38840000,49000000,2.9732074562701496
G401_BR1,14,40000,253.0,759,2,974,1227,38920000,49080000,2.9785177284358855
G401_BR1,14,40000,253.0,759,2,976,1229,39000000,49160000,2.9833407502459286
G401_BR1,14,40000,253.0,759,2,978,1231,39080000,49240000,2.992528791853316
G401_BR1,14,40000,253.0,759,2,980,1233,39160000,49320000,3.0017213261435716
G401_BR1,14,40000,253.0,759,2,982,1235,39240000,49400000,3.00395352870177
G401_BR1,14,40000,253.0,759,2,984,1237,39320000,49480000,3.007825214494498
G401_BR1,14,40000,253.0,759,2,986,1239,39400000,49560000,3.0135592067878205
G401_BR1,14,40000,253.0,759,2,988,1241,39480000,49640000,3.0221722469609476
G401_BR1,14,40000,253.0,759,2,990,1243,39560000,49720000,3.0271031226612264
G401_BR1,14,40000,253.0,759,2,992,1245,39640000,49800000,3.030479769615599
G401_BR1,14,40000,253.0,759,2,994,1247,39720000,49880000,3.033323642896083
G401_BR1,14,40000,253.0,759,2,996,1249,39800000,49960000,3.040758514857186
G401_BR1,14,40000,253.0,759,2,998,1251,39880000,50040000,3.04303502914806
G401_BR1,14,40000,253.0,759,2,1000,1253,39960000,50120000,3.0441250550240015
G401_BR1,14,40000,253.0,759,2,1002,1255,40040000,50200000,3.046387901601928
G401_BR1,14,40000,253.0,759,2,1004,1257,40120000,50280000,3.045841170539226
G401_BR1,14,40000,253.0,759,2,1006,1259,40200000,50360000,3.0496000376114454
G401_BR1,14,40000,253.0,759,2,1008,1261,40280000,50440000,3.0501843721327915
G401_BR1,14,40000,253.0,759,2,1010,1263,40360000,50520000,3.0552255666626
G401_BR1,14,40000,253.0,759,2,1012,1265,40440000,50600000,3.060255734246599
G401_BR1,14,40000,253.0,759,2,1014,1267,40520000,50680000,3.067777165924426
G401_BR1,14,40000,253.0,759,2,1016,1269,40600000,50760000,3.07711526578726
G401_BR1,14,40000,253.0,759,2,1018,1271,40680000,50840000,3.081022493015882
G401_BR1,14,40000,253.0,759,2,1020,1273,40760000,50920000,3.0809466562542256
G401_BR1,14,40000,253.0,759,2,1022,1275,40840000,51000000,3.080246259311859
G401_BR1,14,40000,253.0,759,2,1024,1277,40920000,51080000,3.0801018823458195
G401_BR1,14,40000,253.0,759,2,1026,1279,41000000,51160000,3.07410855076629
G401_BR1,14,40000,253.0,759,2,1028,1281,41080000,51240000,3.065494619953163
G401_BR1,14,40000,253.0,759,2,1031,1283,41200000,51320000,3.0566515517973114
G401_BR1,14,40000,253.0,759,2,1033,1285,41280000,51400000,3.0474032738376504
G401_BR1,14,40000,253.0,759,2,1035,1287,41360000,51480000,3.040307492605296
G401_BR1,14,40000,253.0,759,2,1037,1289,41440000,51560000,3.045677708124162
G401_BR1,14,40000,253.0,759,2,1039,1291,41520000,51640000,3.0479193563089106
G401_BR1,14,40000,253.0,759,2,1041,1293,41600000,51720000,3.042973985506788
G401_BR1,14,40000,253.0,759,2,1043,1295,41680000,51800000,3.0452354022980654
G401_BR1,14,40000,253.0,759,2,1045,1297,41760000,51880000,3.04955257384573
G401_BR1,14,40000,253.0,759,2,1047,1299,41840000,51960000,3.045519009967409
G401_BR1,14,40000,253.0,759,2,1049,1301,41920000,52040000,3.0510731616367415
G401_BR1,14,40000,253.0,759,2,1051,1303,42000000,52120000,3.0478818092016686
G401_BR1,14,40000,253.0,759,2,1053,1305,42080000,52200000,3.044277620514567
G401_BR1,14,40000,253.0,759,2,1055,1307,42160000,52280000,3.042973979623226
G401_BR1,14,40000,253.0,759,2,1057,1309,42240000,52360000,3.0378133552790016
G401_BR1,14,40000,253.0,759,2,1059,1311,42320000,52440000,3.0308759881541594
G401_BR1,14,40000,253.0,759,2,1061,1313,42400000,52520000,3.024829187236764
G401_BR1,14,40000,253.0,759,2,1063,1315,42480000,52600000,3.0206732813178703
G401_BR1,14,40000,253.0,759,2,1065,1317,42560000,52680000,3.0136481547139855
G401_BR1,14,40000,253.0,759,2,1067,1319,42640000,52760000,3.0081540681157235
G401_BR1,14,40000,253.0,759,2,1069,1321,42720000,52840000,2.9966827294013543
G401_BR1,14,40000,253.0,759,2,1071,1323,42800000,52920000,2.9938322817527503
G401_BR1,14,40000,253.0,759,2,1073,1325,42880000,53000000,2.9884534289565496
G401_BR1,14,40000,253.0,759,2,1075,1327,42960000,53080000,2.987999561873737
